controller,time,psi,u
PID,4.6,-0.48600859014831244,0.12109478679907915
PID,4.699999999999999,-0.481945922396113,0.11659712042057307
PID,4.799999999999999,-0.4738767374904224,0.11151659843939227
PID,4.899999999999999,-0.4625614906575088,0.10251923380417477
PID,4.999999999999998,-0.44703728920897373,0.0929800803693249
PID,5.099999999999998,-0.4287961313221895,0.07687460114781206
PID,5.1999999999999975,-0.4088460626361653,0.06270672815008099
PID,5.299999999999997,-0.38656804252850124,0.04979686205626491
PID,5.399999999999997,-0.36248565372793795,0.03272195255578417
PID,5.4999999999999964,-0.3383209568243862,0.015292648511194606
PID,5.599999999999996,-0.3132227443001909,0.0024803858158754244
PID,5.699999999999996,-0.28682126491962856,0.0
PID,5.799999999999995,-0.25937714107582654,0.0
PID,5.899999999999995,-0.23162917294611596,0.0
PID,5.999999999999995,-0.2041618101030897,0.0
PID,6.099999999999994,-0.17625201232018506,0.0
PID,6.199999999999994,-0.148871162382086,0.0
PID,6.299999999999994,-0.12090504279901426,0.0
PID,6.399999999999993,-0.09332651536273795,0.0
PID,6.499999999999993,-0.06657112067447332,0.0
PID,6.5999999999999925,-0.0405693651834811,0.0
PID,6.699999999999992,-0.015550259937833752,0.0
PID,6.799999999999992,0.008515664793891209,0.0
PID,6.8999999999999915,0.03144884140779293,0.0
PID,6.999999999999991,0.053347274254555106,0.0
PID,7.099999999999991,0.0744415025942599,0.0
PID,7.19999999999999,0.09482914110720067,0.0
PID,7.29999999999999,0.11357588312195341,0.0
PID,7.39999999999999,0.13071657449087082,0.0
PID,7.499999999999989,0.14647488599161562,0.0
PID,7.599999999999989,0.16105994651377578,0.0
PID,7.699999999999989,0.17445102017356676,0.0
PID,7.799999999999988,0.18554611575826144,0.0
PID,7.899999999999988,0.19623264157197085,0.0
PID,7.999999999999988,0.20517231139423295,0.0
PID,8.099999999999987,0.21372642399567132,0.0
PID,8.199999999999987,0.22027915359038483,0.0
PID,8.299999999999986,0.2250518197037482,0.0
PID,8.399999999999986,0.22843032925779946,0.0
PID,8.499999999999986,0.23045399432228775,0.0
PID,8.599999999999985,0.23087889030196432,0.0
PID,8.699999999999985,0.23050409254636073,0.0
PID,8.799999999999985,0.22808700120383166,0.0
PID,8.899999999999984,0.2251295164604618,0.0
PID,8.999999999999984,0.22072612217854143,0.0
PID,9.099999999999984,0.2159769989414487,0.0
PID,9.199999999999983,0.21008610709867187,0.0
PID,9.299999999999983,0.2026219831997736,0.0
PID,9.399999999999983,0.19459323045103893,0.0
PID,9.499999999999982,0.18694745963626838,0.0
PID,9.599999999999982,0.17857010115663452,0.0
PID,9.699999999999982,0.16960695539324688,0.0
PID,9.799999999999981,0.15986498218220668,0.0
PID,9.89999999999998,0.14917767913904748,0.0
PID,9.99999999999998,0.13768944356472124,0.0
PID,10.09999999999998,0.12519704973613371,0.0
PID,10.19999999999998,0.11174892663806235,0.0
PID,10.29999999999998,0.09818097160823964,0.0
PID,10.399999999999979,0.08533919608562276,0.0
PID,10.499999999999979,0.07271752566410253,0.0
PID,10.599999999999978,0.0603478116331249,0.0
PID,10.699999999999978,0.04817175106273774,0.0
PID,10.799999999999978,0.035688043814137316,0.0
PID,10.899999999999977,0.02349306415423694,0.0
PID,10.999999999999977,0.011335678052909907,0.0
PID,11.099999999999977,-4.488706404272118e-05,0.0
PID,11.199999999999976,-0.010468695752239876,0.0
PID,11.299999999999976,-0.01990057609871094,0.0
PID,11.399999999999975,-0.02876687423053439,0.0
PID,11.499999999999975,-0.03670147101219518,0.0
PID,11.599999999999975,-0.04454564274974435,0.0
PID,11.699999999999974,-0.051980896874619216,0.0
PID,11.799999999999974,-0.05903861891983395,0.0
PID,11.899999999999974,-0.06604091955742922,0.0
PID,11.999999999999973,-0.07301507601485725,0.0
PID,12.099999999999973,-0.07985741368046298,0.0
PID,12.199999999999973,-0.08632399707412361,0.0
PID,12.299999999999972,-0.09312644958200002,0.0
PID,12.399999999999972,-0.09823711943786811,0.0
PID,12.499999999999972,-0.10260142552724327,0.0
PID,12.599999999999971,-0.10629809006577079,0.0
PID,12.69999999999997,-0.10904211109176838,0.0
PID,12.79999999999997,-0.11123612103910901,0.0
PID,12.89999999999997,-0.11256331632466017,0.0
PID,12.99999999999997,-0.11304644097203602,0.0
PID,13.09999999999997,-0.11258131449540529,0.0
PID,13.199999999999969,-0.11268359304857556,0.0
PID,13.299999999999969,-0.1116982433131733,0.0
PID,13.399999999999968,-0.1101088491119837,0.0
PID,13.499999999999968,-0.1077049047409633,0.0
PID,13.599999999999968,-0.10460357979110017,0.0
PID,13.699999999999967,-0.10094077866437663,0.0
PID,13.799999999999967,-0.09617375886332742,0.0
PID,13.899999999999967,-0.09125468530186487,0.0
PID,13.999999999999966,-0.08577216347077048,0.0
PID,14.099999999999966,-0.08016694990200308,0.0
PID,14.199999999999966,-0.07433229608415048,0.0
PID,14.299999999999965,-0.06710034504745552,0.0
PID,14.399999999999965,-0.05886684563782235,0.0
PID,14.499999999999964,-0.05043859986159404,0.0
PID,14.599999999999964,-0.041563477069413206,0.0
PID,14.699999999999964,-0.03285690643395709,0.0
PID,14.799999999999963,-0.025195384928384593,0.0
PID,14.899999999999963,-0.017372167681948138,0.0
PID,14.999999999999963,-0.009846097209869236,0.0
PID,15.099999999999962,-0.003105457599897098,0.0
PID,15.199999999999962,0.0022960572796628578,0.0
PID,15.299999999999962,0.008225527528395818,0.0
PID,15.399999999999961,0.014203832326980914,0.0
PID,15.499999999999961,0.02019005781899204,0.0
